complex_name,protein_path,ligand_description,protein_sequence
id295246830,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246831,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246832,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246833,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246834,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246835,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246836,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246837,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246838,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246839,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246840,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246841,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246842,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246843,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246844,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2CCC(SC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246845,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246846,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246847,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246848,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246849,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246850,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246851,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246852,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246853,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246854,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246855,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246856,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(N3CCCC3)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246857,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246858,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246859,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246860,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246861,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246862,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NC[C@H]2CC[C@H](c3ccccc3)O2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246863,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246864,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246865,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Br)ccc2OC(F)F)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246866,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246867,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246868,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2cc(Cl)sc2Cl)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246869,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246870,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246871,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2nnc(S)o2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246872,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246873,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246874,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCN2C(=O)Cc3ccccc32)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246875,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246876,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246877,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2ccncc2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246878,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],
id295246879,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],
id295246880,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)N[Dy],
id295246881,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],
id295246882,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],
id295246883,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc(N3CCCCC3)cc2)n1)C(=O)N[Dy],
id295246884,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],
id295246885,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],
id295246886,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ccc3[nH]cnc3c2)n1)C(=O)N[Dy],
id295246887,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],
id295246888,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],
id295246889,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2cccc3cn[nH]c23)n1)C(=O)N[Dy],
id295246890,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],
id295246891,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],
id295246892,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2nccnn2)n1)C(=O)N[Dy],
id295246893,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246894,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246895,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ccc(C=C)cc2)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246896,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246897,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246898,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246899,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246900,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246901,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246902,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246903,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246904,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246905,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246906,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246907,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246908,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246909,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246910,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2ncnc3c2ncn3CC(C)O)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246911,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246912,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246913,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246914,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246915,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246916,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246917,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246918,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246919,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246920,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246921,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246922,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCC2(O)CCCC2(C)C)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246923,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
